year,course,number,mark_type,mean,sd,max,p99,p90,p75,p50,p25
2020,Mathematics Advanced,16771.0,hsc,39.8,5.9,50.0,49.0,47.0,44.5,40.0,36.0
2020,Mathematics Advanced,16771.0,scaled,31.3,9.7,50.0,47.6,43.4,39.1,32.3,24.5
2020,Mathematics Extension 1,8804.0,hsc,39.6,8.3,50.0,49.5,48.0,46.0,42.0,34.0
2020,Mathematics Extension 1,8804.0,scaled,39.5,7.4,50.0,49.3,47.5,45.0,41.1,35.9
2020,Mathematics Extension 2,3372.0,hsc,40.9,6.9,50.0,49.5,47.5,46.0,43.0,37.5
2020,Mathematics Extension 2,3372.0,scaled,43.8,5.1,50.0,49.5,48.3,47.1,45.1,42.0
2020,Modern History,10860.0,hsc,36.5,7.4,49.5,47.5,45.0,41.5,38.0,32.5
2020,Modern History,10860.0,scaled,25.5,11.0,50.0,45.8,39.5,33.9,26.5,17.4
2020,History Extension,1746.0,hsc,38.8,6.1,50.0,49.0,46.0,44.0,39.0,35.0
2020,History Extension,1746.0,scaled,33.7,7.1,50.0,46.8,42.2,38.9,34.3,29.1
2020,Music 1,4500.0,hsc,41.0,4.6,50.0,49.0,46.5,44.5,41.5,38.5
2020,Music 1,4500.0,scaled,21.3,10.9,47.3,44.6,36.5,29.6,20.6,12.7
2020,Music 2,688.0,hsc,43.7,3.0,49.5,49.0,47.5,46.0,44.0,42.0
2020,Music 2,688.0,scaled,33.9,8.4,50.0,49.5,45.0,40.0,34.4,28.3
2020,Music Extension,400.0,hsc,45.5,5.1,50.0,50.0,50.0,49.0,47.0,43.0
2020,Music Extension,400.0,scaled,36.0,10.5,50.0,50.0,49.5,45.2,37.4,28.7
2020,PDH&PE,16183.0,hsc,36.4,6.5,48.5,47.0,44.5,41.5,37.0,32.0
2020,PDH&PE,16183.0,scaled,23.0,10.6,48.4,44.3,37.7,31.4,22.7,14.6
2020,Physics,7991.0,hsc,37.2,6.8,49.5,47.5,45.0,42.5,38.0,33.0
2020,Physics,7991.0,scaled,30.9,9.8,50.0,46.5,42.5,38.8,32.6,24.3
2020,Science Extension,608.0,hsc,37.5,4.7,49.0,47.0,44.0,41.0,37.0,34.0
2020,Science Extension,608.0,scaled,33.4,7.1,50.0,47.7,42.3,38.2,33.3,29.2
2020,Society & Culture,4566.0,hsc,38.6,5.2,49.5,48.0,45.0,42.5,39.0,35.5
2020,Society & Culture,4566.0,scaled,23.0,10.6,48.3,44.7,37.8,31.2,22.7,14.9
2020,Software Design & Development,1737.0,hsc,37.1,6.6,49.0,48.0,45.5,42.5,37.5,33.0
2020,Software Design & Development,1737.0,scaled,25.6,11.1,50.0,46.5,40.8,34.5,25.8,16.7
2020,Studies of Religion I,8129.0,hsc,38.0,5.1,50.0,47.0,44.0,42.0,39.0,35.0
2020,Studies of Religion I,8129.0,scaled,28.0,8.9,49.0,44.3,39.3,34.9,28.6,21.8
2020,Studies of Religion II,6133.0,hsc,38.0,5.6,48.5,46.5,44.0,42.0,39.0,34.5
2020,Studies of Religion II,6133.0,scaled,27.4,10.2,50.0,46.0,40.0,35.3,28.5,20.2
2020,Textiles & Design,1323.0,hsc,40.1,5.0,49.5,48.5,46.0,44.0,41.0,37.0
2020,Textiles & Design,1323.0,scaled,23.0,11.3,49.0,45.9,38.6,31.8,22.8,13.9
2020,Visual Arts,8580.0,hsc,40.7,4.4,50.0,48.5,46.0,44.0,41.5,38.5
2020,Visual Arts,8580.0,scaled,21.9,11.2,48.9,45.4,37.8,30.6,21.2,13.0
2020,Arabic Continuers,299.0,hsc,38.9,5.5,47.5,47.0,44.5,43.0,39.5,36.0
2020,Arabic Continuers,299.0,scaled,15.6,11.1,42.5,41.2,32.2,24.2,13.3,6.0
2020,Arabic Extension,101.0,hsc,39.8,5.7,49.0,49.0,48.0,45.0,40.0,35.0
2020,Arabic Extension,101.0,scaled,22.5,7.4,39.3,39.1,33.4,27.4,22.4,17.1
2020,Armenian Continuers,26.0,hsc,43.3,3.0,48.0,,,,,
2020,Armenian Continuers,26.0,scaled,32.5,8.4,50.0,,,,,
2020,Chinese Beginners,80.0,hsc,35.6,10.5,50.0,50.0,46.5,44.5,38.0,27.0
2020,Chinese Beginners,80.0,scaled,20.6,12.9,47.3,47.3,36.0,31.9,22.0,7.4
2020,Chinese Continuers,187.0,hsc,42.4,6.2,50.0,50.0,48.0,47.0,44.0,40.0
2020,Chinese Continuers,187.0,scaled,32.7,9.5,50.0,49.9,42.9,40.7,34.1,26.5
2020,Chinese Extension,40.0,hsc,44.8,3.9,48.0,48.0,48.0,47.0,46.0,43.0
2020,Chinese Extension,40.0,scaled,37.8,7.3,50.0,50.0,45.9,43.5,39.3,32.2
2020,Chinese & Literature,461.0,hsc,41.1,4.5,47.5,47.0,45.5,44.0,42.0,39.5
2020,Chinese & Literature,461.0,scaled,24.2,11.1,50.0,48.2,38.6,32.6,24.3,15.8
2020,Chinese in Context,137.0,hsc,44.4,3.3,49.0,48.5,48.0,47.0,45.0,42.5
2020,Chinese in Context,137.0,scaled,30.6,10.7,50.0,49.0,44.6,39.7,30.6,22.6
2020,Classical Greek Continuers,10.0,hsc,43.5,4.7,49.0,,,,,
2020,Classical Greek Continuers,10.0,scaled,37.8,9.0,50.0,,,,,
2020,Classical Hebrew Continuers,25.0,hsc,43.9,3.2,48.0,,,,,
2020,Classical Hebrew Continuers,25.0,scaled,34.0,8.2,49.0,,,,,
2020,Classical Hebrew Extension,15.0,hsc,46.4,3.3,49.0,,,,,
2020,Classical Hebrew Extension,15.0,scaled,36.1,8.9,50.0,,,,,
2020,French Beginners,507.0,hsc,38.4,8.4,50.0,49.0,47.5,45.0,40.0,33.5
2020,French Beginners,507.0,scaled,24.4,11.5,49.9,46.4,39.6,32.8,25.3,15.7
2020,French Continuers,593.0,hsc,41.1,5.4,49.5,49.0,47.5,45.5,42.0,38.0
2020,French Continuers,593.0,scaled,34.1,9.0,50.0,48.8,45.2,41.1,35.6,28.4
2020,French Extension,133.0,hsc,40.0,5.2,48.0,47.0,46.0,45.0,41.0,35.0
