year,course,number,median_hsc,median_band,pct_b6,pct_b5,pct_b4,pct_b3,pct_b2
2020,Japanese Continuers,671.0,82.0,5,29.0,27.0,23.0,16.0,4.0
2020,Japanese Extension,163.0,44.0,E3,,,44.0,45.0,10.0
2020,Japanese & Literature,11.0,83.0,5,18.0,45.0,18.0,18.0,
2020,Japanese in Context,30.0,85.0,5,10.0,63.0,20.0,7.0,
2020,Khmer Continuers,21.0,85.0,5,19.0,67.0,10.0,5.0,
2020,Korean Beginners,127.0,81.0,5,18.0,35.0,35.0,6.0,4.0
2020,Korean Continuers,16.0,92.0,6,56.0,38.0,6.0,,
2020,Korean & Literature,43.0,86.0,5,33.0,51.0,14.0,2.0,
2020,Korean in Context,39.0,93.0,6,69.0,26.0,5.0,,
2020,Latin Continuers,142.0,90.0,6,50.0,39.0,7.0,4.0,
2020,Latin Extension,104.0,48.0,E4,,,87.0,13.0,
2020,Macedonian Continuers,21.0,82.0,5,5.0,62.0,19.0,5.0,10.0
2020,Modern Greek Beginners,70.0,88.0,5,40.0,40.0,10.0,9.0,1.0
2020,Modern Greek Continuers,72.0,88.0,5,44.0,36.0,15.0,4.0,
2020,Modern Greek Extension,25.0,44.0,E3,,,48.0,48.0,4.0
2020,Modern Hebrew Continuers,31.0,93.0,6,81.0,13.0,6.0,,
2020,Persian Continuers,21.0,91.0,6,52.0,29.0,19.0,,
2020,Polish Continuers,16.0,93.0,6,75.0,19.0,6.0,,
2020,Portuguese Continuers,29.0,86.0,5,28.0,59.0,10.0,3.0,
2020,Punjabi Continuers,15.0,84.0,5,27.0,47.0,20.0,7.0,
2020,Russian Continuers,20.0,92.0,6,60.0,30.0,10.0,,
2020,Serbian Continuers,30.0,87.0,5,37.0,50.0,10.0,3.0,
2020,Spanish Beginners,328.0,77.0,4,14.0,27.0,27.0,19.0,10.0
2020,Spanish Continuers,164.0,80.0,5,10.0,41.0,29.0,18.0,1.0
2020,Spanish Extension,53.0,43.0,E3,,,28.0,70.0,
2020,Tamil Continuers,37.0,91.0,6,70.0,27.0,3.0,,
2020,Turkish Continuers,26.0,86.0,5,15.0,62.0,19.0,4.0,
2020,Vietnamese Continuers,190.0,82.0,5,11.0,53.0,31.0,5.0,1.0
2020,Automotive Exam,237.0,68.0,3,3.0,11.0,31.0,34.0,16.0
